location,category,th_1,th_5,th_10,th_25,th_50,th_100
Chile,cumulative cases,2020-02-25,2020-03-07,2020-03-09,2020-03-13,2020-03-15,2020-03-17
China,cumulative deaths,NA,NA,2020-01-23,2020-01-24,2020-01-26,2020-01-28
Colombia,cumulative cases,2020-02-25,2020-03-12,2020-03-14,2020-03-17,NA,NA
Costa Rica,cumulative cases,NA,NA,2020-03-11,2020-03-17,NA,NA
Croatia,cumulative cases,2020-02-25,2020-02-29,2020-03-06,2020-03-14,2020-03-17,NA
Cuba,cumulative cases,2020-02-25,2020-03-17,NA,NA,NA,NA
Cyprus,cumulative cases,2020-02-25,2020-03-12,2020-03-14,2020-03-16,NA,NA
Czech Republic,cumulative cases,2020-02-25,2020-03-04,2020-03-06,2020-03-08,2020-03-11,2020-03-13
Cote d'Ivoire,cumulative cases,2020-02-25,2020-03-17,NA,NA,NA,NA
Denmark,cumulative cases,2020-02-25,2020-03-03,2020-03-05,2020-03-08,2020-03-10,2020-03-11
Denmark,cumulative deaths,2020-03-16,NA,NA,NA,NA,NA
Dominican Republic,cumulative cases,2020-02-25,2020-03-10,2020-03-17,NA,NA,NA
Dominican Republic,cumulative deaths,2020-03-17,NA,NA,NA,NA,NA
